Original	UI	MSH
generalized epilepsy with febrile seizures plus, type 1		NA
epilepsy, nocturnal frontal lobe, type 1		NA
epilepsy, nocturnal frontal lobe, type 3		NA
epilepsy, nocturnal frontal lobe, type 4		NA
unverricht-lundborg syndrome	D020194	Unverricht-Lundborg Syndrome
epilepsy, progressive myoclonic, 1b		NA
lafora disease	D020192	Lafora Disease
pyridoxine-dependent epilepsy		NA
epilepsy, x-linked, with variable learning disabilities and behavior disorders		NA
epileptic encephalopathy, early infantile, 1		NA
epileptic encephalopathy, early infantile, 2		NA
epileptic encephalopathy, early infantile, 3		NA
epileptic encephalopathy, early infantile, 4		NA
epileptic encephalopathy, lennox-gastaut type		NA
fairbank disease		NA
epiphyseal dysplasia, multiple, 2		NA
epiphyseal dysplasia, multiple, 3		NA
epiphyseal dysplasia, multiple, 4		NA
epiphyseal dysplasia, multiple, 5		NA
epiphyseal dysplasia, multiple, with myopia and conductive deafness		NA
episodic ataxia with nystagmus		NA
episodic ataxia, type 5		NA
episodic ataxia, type 6		NA
episodic ataxia, type 1		NA
familial paroxysmal dystonia		NA
epstein syndrome		NA
erythrocyte lactate transporter defect		NA
erythrocytosis, familial, 2		NA
erythrocytosis, familial, 3		NA
erythrocytosis, familial, 4		NA
erythrokeratodermia variabilis	D056266	Erythrokeratodermia Variabilis
multiple pterygium syndrome		NA
ethylmalonic encephalopathy		NA
exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of siemens-like		NA
exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis		NA
exudative vitreoretinopathy 4		NA
exudative vitreoretinopathy 5		NA
fabry disease	D000795	Fabry Disease
factor v deficiency	D005166	Factor V Deficiency
factor vii deficiency	D005168	Factor VII Deficiency
factor x deficiency	D005171	Factor X Deficiency
factor xi deficiency	D005173	Factor XI Deficiency
factor xii deficiency	D005175	Factor XII Deficiency
factor xiii deficiency	D005177	Factor XIII Deficiency
failure of tooth eruption, primary		NA
familial cold autoinflammatory syndrome 2		NA
familial mediterranean fever, autosomal dominant		NA
familial mediterranean fever	D010505	Familial Mediterranean Fever
fanconi anemia	D005199	Fanconi Anemia
fanconi anemia, complementation group b		NA
fanconi anemia, complementation group d1		NA
fanconi anemia, complementation group i		NA
fanconi anemia, complementation group j		NA
fanconi anemia, complementation group n		NA
fanconi syndrome	D005198	Fanconi Syndrome
farber lipogranulomatosis	D055577	Farber Lipogranulomatosis
facioscapulohumeral muscular dystrophy 1b		NA
bulbar palsy, progressive	D010244	Bulbar Palsy, Progressive
generalized epilepsy with febrile seizures plus, type 2		NA
generalized epilepsy with febrile seizures plus, type 3		NA
oculodigitoesophagoduodenal syndrome		NA
fertile eunuch syndrome		NA
pena shokeir syndrome, type 1		NA
myositis ossificans	D009221	Myositis Ossificans
fibrosis of extraocular muscles, congenital, 2		NA
fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement		NA
prekallikrein deficiency		NA
focal cortical dysplasia of taylor		NA
focal dermal hypoplasia	D005489	Focal Dermal Hypoplasia
folate malabsorption, hereditary		NA
follicle-stimulating hormone deficiency, isolated		NA
fragile x tremor ataxia syndrome		NA
ter haar syndrome		NA
fraser syndrome	D058497	Fraser Syndrome
frasier syndrome	D052159	Frasier Syndrome
frontometaphyseal dysplasia		NA
amyotrophic lateral sclerosis 10		NA
fructose-1,6-diphosphatase deficiency	D015319	Fructose-1,6-Diphosphatase Deficiency
fructose intolerance	D005633	Fructose Intolerance
fucosidosis	D005645	Fucosidosis
fumaric aciduria		NA
fundus albipunctatus		NA
gamma aminobutyric acid transaminase deficiency		NA
galactosemias	D005693	Galactosemias
neuraminidase deficiency with beta-galactosidase deficiency		NA
gallbladder disease 4		NA
gastrointestinal stromal tumors	D046152	Gastrointestinal Stromal Tumors
gaucher disease, atypical, due to saposin c deficiency		NA
gaucher disease, perinatal lethal		NA
gaucher disease	D005776	Gaucher Disease
gaucher-like disease		NA
gaze palsy, familial horizontal, with progressive scoliosis		NA
generalized epilepsy and paroxysmal dyskinesia		NA
gerodermia osteodysplastica		NA
gerstmann-straussler-scheinker disease	D016098	Gerstmann-Straussler-Scheinker Disease
ghosal hematodiaphyseal dysplasia		NA
giant axonal neuropathy	D056768	Giant Axonal Neuropathy
aniridia cerebellar ataxia mental deficiency		NA
gitelman syndrome	D053579	Gitelman Syndrome
thrombasthenia	D013915	Thrombasthenia
glaucoma 1, open angle, o		NA
glaucoma, primary open angle		NA
glaucoma 1, open angle, f		NA
glaucoma 1, open angle, g		NA
glaucoma 1, open angle, a		NA
glaucoma 3, primary congenital, d		NA
glaucoma 3, primary congenital, a		NA
glomerulocystic kidney disease with hyperuricemia and isosthenuria		NA
glomerulopathy with fibronectin deposits		NA
glomus vagale tumors		NA
glucocorticoid deficiency 2		NA
glucose/galactose malabsorption		NA
de vivo disease		NA
glutamate formiminotransferase deficiency		NA
glutamine deficiency, congenital		NA
multiple acyl coenzyme a dehydrogenase deficiency	D054069	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
glutaric aciduria 1		NA
glutathione synthetase deficiency		NA
hyperglycerolemia		NA
hyperglycinemia, nonketotic	D020158	Hyperglycinemia, Nonketotic
glycine n-methyltransferase deficiency		NA
glycogen storage disease 0, muscle		NA
glycogen storage disease type i	D005953	Glycogen Storage Disease Type I
glycogen storage disease ib		NA
glycogen storage disease ic		NA
glycogen storage disease type ii	D006009	Glycogen Storage Disease Type II
glycogen storage disease type iii	D006010	Glycogen Storage Disease Type III
glycogen storage disease type iv	D006011	Glycogen Storage Disease Type IV
glycogen storage disease ixc		NA
glycogen storage disease of heart, lethal congenital		NA
glycogen storage disease type vi	D006013	Glycogen Storage Disease Type VI
glycogen storage disease type vii	D006014	Glycogen Storage Disease Type VII
dimauro disease		NA
lactate dehydrogenase deficiency type a		NA
glycogen storage disease xii		NA
glycogen storage disease xiii		NA
glycogen storage disease xiv		NA
glycogen storage disease 0, liver		NA
glycosylphosphatidylinositol deficiency		NA
gangliosidosis, gm1	D016537	Gangliosidosis, GM1
tay-sachs disease, ab variant	D049290	Tay-Sachs Disease, AB Variant
goldberg-shprintzen megacolon syndrome		NA
finnish lethal neonatal metabolic syndrome		NA
greig cephalopolysyndactyly syndrome		NA
griscelli syndrome type 1		NA
griscelli syndrome type 2		NA
griscelli syndrome type 3		NA
isolated growth hormone deficiency, type ib		NA
isolated growth hormone deficiency, type ii		NA
insulin-like growth factor i deficiency		NA
growth retardation, developmental delay, coarse facies, and early death		NA
preaxial deficiency, postaxial polydactyly and hypospadias		NA
pemphigus, benign familial	D016506	Pemphigus, Benign Familial
keratosis palmoplantaris with periodontopathia and onychogryposis		NA
hallermann's syndrome	D006210	Hallermann's Syndrome
hand foot uterus syndrome		NA
coproporphyria, hereditary	D046349	Coproporphyria, Hereditary
hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration		NA
hartnup disease	D006250	Hartnup Disease
hawkinsinuria		NA
hay-wells syndrome		NA
hypoalphalipoproteinemias	D052456	Hypoalphalipoproteinemias
heart-hand syndrome, slovenian type		NA
heinz body anemias		NA
hematuria, benign familial		NA
hemochromatosis, type 2a		NA
hemochromatosis, type 2b		NA
hemochromatosis, type 3		NA
hemochromatosis, type 4		NA
adenylate kinase deficiency, hemolytic anemia due to		NA
gamma-glutamylcysteine synthetase deficiency, hemolytic anemia due to		NA
glutathione synthetase deficiency of erythrocytes, hemolytic anemia due to		NA
hemophagocytic lymphohistiocytosis, familial, 2		NA
hemophagocytic lymphohistiocytosis, familial, 3		NA
hemophagocytic lymphohistiocytosis, familial, 4		NA
hemophilia a	D006467	Hemophilia A
hemophilia b	D002836	Hemophilia B
alpha 1-antitrypsin deficiency	D019896	alpha 1-Antitrypsin Deficiency
hennekam lymphangiectasia lymphedema syndrome		NA
hepatic adenomas, familial		NA
hepatic venoocclusive disease with immunodeficiency		NA
hereditary motor and sensory neuropathy vi		NA
neuropathy, hereditary motor and sensory, okinawa type		NA
hereditary motor and sensory neuropathy, type iic		NA
albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells		NA
hermansky pudlak syndrome 2		NA
heterotaxy, visceral, x-linked		NA
heterotopia, periventricular, ehlers-danlos variant		NA
histiocytoma, angiomatoid fibrous		NA
histiocytosis with joint contractures and sensorineural deafness		NA
hmg coa lyase deficiency		NA
3-hydroxy-3-methylglutaryl-coa synthase 2 deficiency		NA
holocarboxylase synthetase deficiency	D028922	Holocarboxylase Synthetase Deficiency
holoprosencephaly 2		NA
holoprosencephaly 3		NA
holoprosencephaly 4		NA
holoprosencephaly 5		NA
holoprosencephaly 7		NA
holoprosencephaly 9		NA
holt-oram syndrome		NA
homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cble complementation type		NA
methylcobalamin deficiency, cblg type		NA
hoyeraal hreidarsson syndrome		NA
huntington disease-like 1		NA
huntington disease-like 2		NA
hyalinosis, systemic	D057770	Hyalinosis, Systemic
hydatidiform mole	D006828	Hydatidiform Mole
hydrocephalus, x-linked		NA
hydrocephalus	D006849	Hydrocephalus
hydrolethalus syndrome 1		NA
hyper-ige recurrent infection syndrome, autosomal dominant		NA
hyperbilirubinemia, transient familial neonatal		NA
hypercarotenemia and vitamin a deficiency, autosomal dominant		NA
hypercholanemia, familial		NA
hypercholesterolemia, autosomal recessive		NA
hyperlipoproteinemia type v	D006954	Hyperlipoproteinemia Type V
hyperexplexia hereditary		NA
hyperferritinemia, hereditary, with congenital cataracts		NA
hyperinsulinemic hypoglycemia, familial, 3		NA
hyperinsulinemic hypoglycemia, familial, 4		NA
hyperinsulinemic hypoglycemia, familial, 5		NA
hyperinsulinemic hypoglycemia, familial, 7		NA
hyperinsulinemic hypoglycemia, familial, 6		NA
paralysis, hyperkalemic periodic	D020513	Paralysis, Hyperkalemic Periodic
hemangioma, cavernous, central nervous system	D020786	Hemangioma, Cavernous, Central Nervous System
hyperlysinemias	D020167	Hyperlysinemias
hhh syndrome		NA
primary hyperoxaluria type 1		NA
primary hyperoxaluria type 2		NA
hyperparathyroidism, neonatal severe primary		NA
6-pyruvoyl-tetrahydropterin synthase deficiency		NA
hyperphenylalaninemia, bh4-deficient, b		NA
hyperprolinemia		NA
hyperprolinemia type 2		NA
hypertension, early-onset, autosomal dominant, with severe exacerbation in pregnancy		NA
hyperthyroidism, familial gestational		NA
hyperthyroidism, nonautoimmune		NA
18-hydroxylase deficiency		NA
hypobetalipoproteinemia, familial, 2		NA
familial benign hypercalcemia, type 3		NA
hypocalciuric hypercalcemia, familial, type 1		NA
hypocalciuric hypercalcemia, familial, type 2		NA
hypochondroplasia		NA
hypoglycemia, leucine-induced		NA
kallmann syndrome	D017436	Kallmann Syndrome
hypogonadism	D007006	Hypogonadism
hypokalemic periodic paralysis, type 2		NA
hypomagnesemia 2, renal		NA
hypomagnesemia 1, intestinal		NA
hypomagnesemia 4, renal		NA
hypomagnesemia 5, renal, with ocular involvement		NA
hypomyelination, global cerebral		NA
hypoparathyroidism-retardation-dysmorphism syndrome		NA
hypoparathyroidism familial isolated		NA
barakat syndrome		NA
hypophosphatasia, childhood		NA
hypophosphatasia, infantile		NA
hypophosphatemic rickets with hypercalciuria, hereditary		NA
hypophosphatemic rickets, autosomal recessive, 1		NA
hypophosphatemic rickets, autosomal dominant		NA
hypophosphatemic rickets, autosomal recessive, 2		NA
familial hypophosphatemic rickets	D053098	Familial Hypophosphatemic Rickets
hypoplastic left heart syndrome	D018636	Hypoplastic Left Heart Syndrome
hypoproteinemia, hypercatabolic		NA
hypospadias 1, x-linked		NA
hypospadias 2, x-linked		NA
hypothyroidism, congenital, nongoitrous, 4		NA
hypothyroidism, congenital, nongoitrous, 5		NA
hypothyroidism, congenital, nongoitrous, 2		NA
hypotrichosis-lymphedema-telangiectasia syndrome		NA
hypotrichosis and recurrent skin vesicles		NA
hypotrichosis simplex		NA
juvenile macular degeneration and hypotrichosis		NA
renal hypouricemia		NA
ichthyosis bullosa of siemens	D053560	Ichthyosis Bullosa of Siemens
ichthyosis hystrix, curth macklin type		NA
ichthyosis prematurity syndrome		NA
ichthyosis vulgaris	D016112	Ichthyosis Vulgaris
ichthyosis with hypotrichosis, autosomal recessive		NA
harlequin type ichthyosis		NA
ichthyosiform erythroderma, brocq congenital, nonbullous form		NA
ichthyosis, lamellar, 5		NA
lamellar ichthyosis, type 2		NA
lamellar ichthyosis, type 3		NA
ichthyosis, cyclic, with epidermolytic hyperkeratosis		NA
ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis		NA
ichthyosis, x-linked	D016114	Ichthyosis, X-Linked
ichthyosis follicularis atrichia photophobia syndrome		NA
intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies		NA
iminoglycinuria		NA
immune dysfunction with t-cell inactivation due to calcium entry defect 1		NA
immune dysfunction with t-cell inactivation due to calcium entry defect 2		NA
autoimmune lymphoproliferative syndrome	D056735	Autoimmune Lymphoproliferative Syndrome
immunodeficiency due to defect in cd3-zeta		NA
immunodeficiency due to defect in mapbp-interacting protein		NA
purine nucleoside phosphorylase deficiency		NA
common variable immunodeficiency	D017074	Common Variable Immunodeficiency
immunodeficiency without anhidrotic ectodermal dysplasia		NA
immunodysregulation, polyendocrinopathy, and enteropathy, x-linked		NA
immunoglobulin a deficiency 2		NA
inclusion body myopathy, autosomal dominant		NA
inclusion body myopathy with early-onset paget disease and frontotemporal dementia		NA
inclusion body myopathy autosomal recessive		NA
incontinentia pigmenti	D007184	Incontinentia Pigmenti
inflammatory bowel disease 19		NA
inflammatory bowel disease 25, autosomal recessive		NA
inflammatory bowel disease 28, autosomal recessive		NA
indifference to pain, congenital, autosomal recessive		NA
hereditary sensory and autonomic neuropathies	D009477	Hereditary Sensory and Autonomic Neuropathies
insomnia, fatal familial	D034062	Insomnia, Fatal Familial
insulin-like growth factor i, resistance to		NA
interleukin 2 receptor, alpha, deficiency of		NA
intestinal atresia, multiple		NA
congenital idiopathic intestinal pseudoobstruction		NA
intrinsic factor deficiency		NA
invasive pneumococcal disease, recurrent isolated, 2		NA
irak4 deficiency		NA
iron-refractory iron deficiency anemia		NA
isobutyryl-coa dehydrogenase deficiency		NA
acidemia, isovaleric		NA
oculootoradial syndrome		NA
jackson-weiss syndrome		NA
jensen syndrome		NA
jervell-lange nielsen syndrome	D029593	Jervell-Lange Nielsen Syndrome
johanson blizzard syndrome		NA
joubert syndrome 3		NA
joubert syndrome 1		NA
joubert syndrome 10		NA
acrocallosal syndrome	D055673	Acrocallosal Syndrome
joubert syndrome 2		NA
joubert syndrome 4		NA
joubert syndrome 5		NA
joubert syndrome 6		NA
joubert syndrome 7		NA
joubert syndrome 8		NA
joubert syndrome 9		NA
kahrizi syndrome		NA
kenny-caffey syndrome, type 1		NA
keratitis, hereditary		NA
keratoconus 1		NA
keratosis palmoplantaris papulosa		NA
keratoderma palmoplantar deafness		NA
keratosis follicularis spinulosa decalvans, x-linked		NA
keratosis linearis with ichthyosis congenita and sclerosing keratoderma		NA
keratosis palmoplantaris striata 1		NA
keratosis palmoplantaris striata ii		NA
keratosis palmoplantaris striata 3		NA
keratosis, seborrheic	D017492	Keratosis, Seborrheic
keutel syndrome		NA
poikiloderma of kindler		NA
kleefstra syndrome		NA
klippel feil syndrome dominant type		NA
klippel feil syndrome recessive type		NA
kniest dysplasia		NA
knobloch syndrome		NA
kowarski syndrome		NA
leukodystrophy, globoid cell	D007965	Leukodystrophy, Globoid Cell
krabbe disease, atypical, due to saposin a deficiency		NA
lactase deficiency, congenital		NA
lactose intolerance, adult type		NA
pyruvate dehydrogenase e3-binding protein deficiency		NA
lacrimoauriculodentodigital syndrome		NA
langer mesomelic dysplasia		NA
laron syndrome	D046150	Laron Syndrome
larsen syndrome, dominant type		NA
laryngo onycho cutaneous syndrome		NA
lathosterolosis		NA
amaurosis congenita of leber, type 1		NA
leber congenital amaurosis 10		NA
leber congenital amaurosis 12		NA
leber congenital amaurosis 13		NA
amaurosis congenita of leber, type 2		NA
amaurosis congenita of leber, type 5		NA
amaurosis congenita of leber, type 9		NA
cardiomyopathy, dilated, 1c		NA
cardiomyopathy, dilated, 1s		NA
cardiomyopathy, dilated, 1d		NA
legg-calve-perthes disease	D007873	Legg-Calve-Perthes Disease
legius syndrome		NA
leigh disease	D007888	Leigh Disease
leigh syndrome , french canadian type		NA
leigh syndrome, x-linked		NA
leopard syndrome, 2		NA
leri-weil syndrome		NA
lesch-nyhan syndrome	D007926	Lesch-Nyhan Syndrome
lethal congenital contracture syndrome 2		NA
lethal congenital contractural syndrome 3		NA
lethal congenital contracture syndrome 1		NA
leukemia, promyelocytic, acute	D015473	Leukemia, Promyelocytic, Acute
leukemia, myelomonocytic, juvenile	D054429	Leukemia, Myelomonocytic, Juvenile
down syndrome	D004314	Down Syndrome
leukocyte adhesion deficiency, type iii		NA
leukodystrophy, hypomyelinating, 2		NA
leukodystrophy, hypomyelinating, 4		NA
leukodystrophy, hypomyelinating, 5		NA
leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation		NA
leukoencephalopathy, cystic, without megalencephaly		NA
hamartoma syndrome, multiple	D006223	Hamartoma Syndrome, Multiple
liddle syndrome	D056929	Liddle Syndrome
lig4 syndrome		NA
limb-mammary syndrome		NA
lipase deficiency combined		NA
lipodystrophy, congenital generalized, type 3		NA
lipodystrophy, congenital generalized, type 4		NA
lipoid congenital adrenal hyperplasia		NA
lipoprotein glomerulopathy		NA
hyperlipoproteinemia type i	D008072	Hyperlipoproteinemia Type I
norman roberts lissencephaly syndrome		NA
lissencephaly	D054082	Lissencephaly
lissencephaly, x-linked, 2		NA
loeys-dietz syndrome, type 1b		NA
loeys-dietz syndrome, type 2a		NA
aortic aneurysm, familial thoracic 3		NA
long qt syndrome 10		NA
long qt syndrome 11		NA
long qt syndrome 3		NA
cardiac arrhythmia, ankyrin-b-related		NA
long qt syndrome 5		NA
long qt syndrome 6		NA
long qt syndrome 9		NA
long qt syndrome 12		NA
oculocerebrorenal syndrome	D009800	Oculocerebrorenal Syndrome
lujan fryns syndrome		NA
leydig cell hypoplasia, type i		NA
lymphangioleiomyomatosis	D018192	Lymphangioleiomyomatosis
lymphedema distichiasis syndrome		NA
lymphoma, non-hodgkin	D008228	Lymphoma, Non-Hodgkin
lymphoproliferative syndrome, ebv-associated, autosomal, 1		NA
lymphoproliferative disorders	D008232	Lymphoproliferative Disorders
lysinuric protein intolerance		NA
bone fragility with contractures, arterial rupture, and deafness		NA
machado-joseph disease	D017827	Machado-Joseph Disease
macrocephaly, alopecia, cutis laxa, and scoliosis		NA
macrocephaly autism syndrome		NA
5q- syndrome		NA
macrothrombocytopenia progressive deafness		NA
macrothrombocytopenia, autosomal dominant, tubb1-related		NA
macular dystrophy, corneal type 1		NA
macular degeneration, age-related, 11		NA
macular degeneration, age-related, 2		NA
macular degeneration, age-related, 3		NA
stargardt disease 1		NA
patterned dystrophy of retinal pigment epithelium		NA
macular dystrophy, retinal, 2		NA
majeed syndrome		NA
malonic aciduria		NA
mandibuloacral dysplasia with type b lipodystrophy		NA
mandibuloacral dysplasia with type a lipodystrophy		NA
alpha-mannosidosis	D008363	alpha-Mannosidosis
beta-mannosidosis	D044905	beta-Mannosidosis
maple syrup urine disease	D008375	Maple Syrup Urine Disease
marfan syndrome	D008382	Marfan Syndrome
spinocerebellar degenerations	D013132	Spinocerebellar Degenerations
marshall syndrome		NA
martsolf syndrome		NA
masa (mental retardation, aphasia, shuffling gait, adducted thumbs) syndrome		NA
masp2 deficiency		NA
mass syndrome		NA
mast syndrome		NA
maturity-onset diabetes of the young, type 9		NA
maturity-onset diabetes of the young, type 7		NA
maturity-onset diabetes of the young, type 8, with exocrine dysfunction		NA
glycogen storage disease type v	D006012	Glycogen Storage Disease Type V
fibrous dysplasia, polyostotic	D005359	Fibrous Dysplasia, Polyostotic
mckusick kaufman syndrome		NA
meacham winn culler syndrome		NA
meckel syndrome type 1		NA
meckel syndrome type 2		NA
meckel syndrome type 3		NA
meckel syndrome, type 4		NA
meckel syndrome, type 5		NA
meckel syndrome, type 6		NA
renal hepatic pancreatic dysplasia dandy walker cyst		NA
erythrokeratodermia variabilis 3		NA
medullary cystic kidney disease 1		NA
medullary cystic kidney disease 2		NA
familial medullary thyroid carcinoma		NA
corneal dystrophy, juvenile epithelial of meesmann	D053559	Corneal Dystrophy, Juvenile Epithelial of Meesmann
megalencephalic leukoencephalopathy with subcortical cysts		NA
megalocornea		NA
meier-gorlin syndrome		NA
melanoma astrocytoma syndrome		NA
keratoderma, palmoplantar	D007645	Keratoderma, Palmoplantar
osteochondrodysplasias	D010009	Osteochondrodysplasias
melorheostosis	D008557	Melorheostosis
menkes kinky hair syndrome	D007706	Menkes Kinky Hair Syndrome
mental retardation-hypotonic facies syndrome, x-linked, 1		NA
mental retardation and microcephaly with pontine and cerebellar hypoplasia		NA
cri-du-chat syndrome	D003410	Cri-du-Chat Syndrome
siderius x-linked mental retardation syndrome		NA
mental retardation, autosomal dominant 1		NA
mental retardation, autosomal dominant 3		NA
mental retardation, autosomal dominant 4		NA
mental retardation, autosomal recessive 1		NA
mental retardation, autosomal recessive 12		NA
mental retardation, autosomal recessive 13		NA
mental retardation, autosomal recessive 2		NA
mental retardation, autosomal recessive 3		NA
mental retardation, autosomal recessive 5		NA
mental retardation, autosomal recessive 7		NA
mental retardation, autosomal recessive 6		NA
mental retardation, fra12a type		NA
morm syndrome		NA
mental retardation, x-linked 1		NA
mental retardation, x-linked 17		NA
mental retardation, x-linked, with or without seizures, arx-related		NA
mental retardation, x-linked 3		NA
mental retardation, x-linked 30		NA
mental retardation, x-linked 45		NA
mental retardation, x-linked 46		NA
mental retardation, x-linked 58		NA
mental retardation, x-linked 63		NA
mental retardation, x-linked 72		NA
mental retardation, x-linked 9		NA
mental retardation, x-linked 91		NA
mental retardation, x-linked 93		NA
mental retardation, x-linked 94		NA
mental retardation, x-linked 95		NA
mental retardation, x-linked, syndromic 10		NA
aarskog syndrome		NA
mental retardation, x-linked, syndromic, christianson type		NA
lubs x-linked mental retardation syndrome		NA
mental retardation, x-linked, syndromic, turner type		NA
snyder robinson syndrome		NA
mental retardation, x-linked, syndromic 13		NA
mental retardation, x-linked, syndromic 14		NA
mental retardation, x-linked, syndromic, jarid1c-related		NA
mental retardation, x-linked, with cerebellar hypoplasia and distinctive facial appearance		NA
mental retardation, x-linked, with epilepsy		NA
mental retardation, x-linked, with panhypopituitarism		NA
metachondromatosis		NA
metachromatic leukodystrophy due to saposin b deficiency		NA
leukodystrophy, metachromatic	D007966	Leukodystrophy, Metachromatic
metaphyseal anadysplasia 2		NA
jansen type metaphyseal chondrodysplasia		NA
metaphyseal chondrodysplasia schmid type		NA
metatropic dwarfism		NA
nadh cytochrome b5 reductase deficiency		NA
methemoglobinemia type iv		NA
methionine adenosyltransferase deficiency		NA
methylmalonic acidemia with homocystinuria		NA
methylmalonic aciduria and homocystinuria, cblf type		NA
methylmalonic aciduria and homocystinuria, cbld type		NA
methylmalonic aciduria due to methylmalonyl-coa mutase deficiency		NA
methylmalonic aciduria cbla type		NA
methylmalonic aciduria cblb type		NA
methylmalonyl-coa epimerase deficiency		NA
mevalonate kinase deficiency	D054078	Mevalonate Kinase Deficiency
microcephalic osteodysplastic primordial dwarfism, type ii		NA
amish lethal microcephaly		NA
microphthalmia, isolated, with cataract 2		NA
microphthalmia, isolated, with coloboma 3		NA
microphthalmia, isolated, with coloboma 5		NA
microphthalmia, isolated 2		NA
microphthalmia, isolated 3		NA
microphthalmia, isolated 4		NA
microphthalmia, syndromic 2		NA
microphthalmia, syndromic 6		NA
microphthalmia, syndromic 7		NA
microtia, hearing impairment, and cleft palate		NA
microvillus inclusion disease		NA
migraine, familial hemiplegic, 3		NA
minicore myopathy with external ophthalmoplegia		NA
laurin-sandrow syndrome		NA
turcot syndrome		NA
mitochondrial complex ii deficiency		NA
mitochondrial complex iii deficiency		NA
mitochondrial phosphate carrier deficiency		NA
sensory ataxic neuropathy, dysarthria, and ophthalmoparesis		NA
miyoshi myopathy		NA
maturity-onset diabetes of the young, type 1		NA
maturity-onset diabetes of the young, type 2		NA
maturity-onset diabetes of the young, type 3		NA
maturity-onset diabetes of the young, type 4		NA
mohr-tranebjaerg syndrome		NA
molybdenum cofactor deficiency		NA
monilethrix	D056734	Monilethrix
coloboma of optic nerve		NA
mosaic variegated aneuploidy syndrome		NA
mowat-wilson syndrome		NA
mucolipidosis iii gamma		NA
mucopolysaccharidosis ii	D016532	Mucopolysaccharidosis II
mucopolysaccharidosis i	D008059	Mucopolysaccharidosis I
mucopolysaccharidosis iii	D009084	Mucopolysaccharidosis III
mucopolysaccharidosis iv	D009085	Mucopolysaccharidosis IV
mucopolysaccharidosis vi	D009087	Mucopolysaccharidosis VI
mucopolysaccharidosis vii	D016538	Mucopolysaccharidosis VII
muenke syndrome		NA
muir-torre syndrome	D055653	Muir-Torre Syndrome
mulibrey nanism	D050336	Mulibrey Nanism
mullerian aplasia and hyperandrogenism		NA
multiple endocrine neoplasia type 1	D018761	Multiple Endocrine Neoplasia Type 1
multiple endocrine neoplasia type 2a	D018813	Multiple Endocrine Neoplasia Type 2a
multiple endocrine neoplasia type 2b	D018814	Multiple Endocrine Neoplasia Type 2b
multiple endocrine neoplasia, type iv		NA
multiple sulfatase deficiency disease	D052517	Multiple Sulfatase Deficiency Disease
multiple synostoses syndrome 2		NA
multiple synostoses syndrome 3		NA
glycogen storage disease, type ixd		NA
walker-warburg syndrome	D058494	Walker-Warburg Syndrome
epidermolysa bullosa simplex and limb girdle muscular dystrophy		NA
muscular dystrophy, congenital, lmna-related		NA
muscular dystrophy, congenital, due to integrin alpha-7 deficiency		NA
muscular dystrophy congenital, merosin negative		NA
muscular dystrophy, limb-girdle, type 1a		NA
limb-girdle muscular dystrophy, type 1b		NA
muscular dystrophy, limb-girdle, type 1e		NA
limb-girdle muscular dystrophy type 2a		NA
limb-girdle muscular dystrophy, type 2b		NA
limb-girdle muscular dystrophy, type 2c		NA
limb-girdle muscular dystrophy, type 2e		NA
limb-girdle muscular dystrophy type 2f		NA
muscular dystrophy, limb-girdle, type 2g		NA
limb-girdle muscular dystrophy type 2h		NA
muscular dystrophy, limb-girdle, type 2j		NA
muscular dystrophy, limb-girdle, type 2l		NA
muscular dystrophy, limb-girdle, type 1c		NA
rigid spine syndrome		NA
congenital myasthenic syndrome ib		NA
congenital myasthenic syndrome with episodic apnea		NA
myasthenic syndrome, congenital, fast-channel		NA
myasthenic syndrome, congenital, postsynaptic slow-channel		NA
primary myelofibrosis	D055728	Primary Myelofibrosis
myeloperoxidase deficiency		NA
myeloproliferative disorder, chronic, with eosinophilia		NA
myoglobinuria, acute recurrent, autosomal recessive		NA
carnitine palmitoyltransferase ii deficiency, late-onset		NA
myopathy with lactic acidosis, hereditary		NA
myopathy, congenital, compton-north		NA
myopathy, distal, with anterior tibial onset		NA
myopathy, early-onset, with fatal cardiomyopathy		NA
myopathy with lactic acidosis and sideroblastic anemia		NA
myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay		NA
alpha-b crystallinopathy		NA
filaminopathy, autosomal dominant		NA
myopathy, myosin storage		NA
hereditary myopathy with early respiratory failure		NA
myopathy, reducing body, x-linked, childhood-onset		NA
myopathy, reducing body, x-linked, early-onset, severe		NA
spheroid body myopathy		NA
myopathy, x-linked, with postural muscle atrophy		NA
myopia 6		NA
myosclerosis, autosomal recessive		NA
potassium aggravated myotonia		NA
dystrophia myotonica 1	D009223	Myotonic Dystrophy
dystrophia myotonica 2	D009223	Myotonic Dystrophy
liposarcoma, myxoid	D018208	Liposarcoma, Myxoid
atrial myxoma, familial		NA
n-acetyl glutamate synthetase deficiency		NA
naegeli syndrome		NA
